iter	Passed	Remaining
0	2583	643320
1	4754	589558
2	6884	566814
3	9057	557035
4	11239	550730
5	13424	545929
6	15630	542592
7	17925	542258
8	20410	546552
9	22651	543629
10	24899	540999
11	27118	537840
12	29558	538877
13	31832	536610
14	34058	533584
15	36502	533850
16	36515	500478
17	38741	499333
18	40966	498061
19	43245	497327
20	43259	471739
21	45550	472071
22	47982	473568
23	50342	474057
24	52656	473906
25	54862	472663
26	57139	471929
27	59574	472337
28	61950	472103
29	64109	470137
30	66468	469566
31	68635	467581
32	70781	465443
33	73108	464455
34	75424	463323
35	77763	462260
36	80123	461252
37	82539	460483
38	82556	446651
39	85082	446683
40	87535	446216
41	89686	444159
42	89711	431867
43	89816	420502
44	92224	420133
45	94664	419816
46	94689	408976
47	96910	407832
48	99099	406510
49	99127	396511
50	101507	396079
51	103966	395873
52	106148	394550
53	108542	393970
54	110756	392680
55	113231	392265
56	115701	391760
57	118007	390645
58	120432	389873
59	122611	388268
60	125112	387644
61	127550	386765
62	130080	386113
63	132390	384760
64	134844	383786
65	137244	382620
66	139603	381306
67	141931	379876
68	144127	378074
69	144158	370694
70	146427	369161
71	148797	367860
72	151314	366885
73	153686	365525
74	156150	364351
75	158426	362712
76	160792	361260
77	163104	359666
78	165503	358240
79	167901	356791
80	170109	354918
81	172576	353571
82	175133	352376
83	177561	350895
84	180024	349459
85	182295	347633
86	184765	346170
87	187498	345166
88	189904	343535
89	192529	342273
90	195074	340845
91	197623	339396
92	200210	337990
93	202742	336465
94	204984	334449
95	207531	332915
96	209779	330888
97	211999	328816
98	214231	326757
99	216674	325011
100	218874	322894
101	221341	321161
102	223842	319464
103	226042	317329
104	228255	315209
105	230444	313056
106	232808	311135
107	234991	308970
108	237218	306861
109	239446	304749
110	241681	302646
111	243816	300416
112	245581	297740
113	247805	295627
114	250026	293509
115	252212	291349
116	254439	289234
117	256698	287153
118	258915	285024
119	261355	283135
120	263757	281195
121	265931	279009
122	268131	276851
123	270483	274846
124	272898	272898
125	275057	270691
126	277326	268592
127	279501	266399
128	281766	264292
129	283897	262058
130	286128	259918
131	288506	257907
132	290723	255749
133	292878	253537
134	295133	251409
135	297340	249241
136	299523	247052
137	301785	244927
138	304211	242931
139	306412	240752
140	308866	238768
141	311070	236588
142	313264	234400
143	315454	232209
144	317866	230178
145	320264	228133
146	322669	226088
147	324842	223877
148	327018	221670
149	329253	219502
150	331669	217452
151	333930	215297
152	336108	213088
153	338528	211031
154	340911	208945
155	343404	206923
156	345583	204708
157	347805	202519
158	349998	200313
159	351695	197828
160	354101	195745
161	356281	193535
162	358491	191342
163	360673	189133
164	363004	187002
165	365402	184902
166	367861	182829
167	370274	180729
168	372700	178631
169	375149	176541
170	377372	174341
171	379581	172135
172	381958	170004
173	384255	167835
174	386606	165688
175	388804	163474
176	391140	161317
177	393415	159134
178	395828	157004
179	398014	154783
180	400172	152551
181	402581	150415
182	404979	148271
183	407164	146048
184	409392	143840
185	411600	141625
186	413814	139413
187	415088	136890
188	417285	134679
189	419424	132449
190	421629	130241
191	423850	128038
192	426165	125862
193	428344	123645
194	430552	121437
195	432952	119282
196	435161	117073
197	437357	114861
198	439525	112642
199	441557	110389
200	443788	108187
201	446164	106019
202	447422	103590
203	450026	101476
204	451291	99063
205	453165	96792
206	454521	94417
207	456787	92235
208	459594	90159
209	462190	88036
210	464585	85871
211	466871	83684
212	469297	81521
213	471861	79378
214	474237	77201
215	476522	75008
216	479234	72878
217	481983	70749
218	484314	68555
219	486591	66353
220	488040	64041
221	490920	61917
222	493062	59698
223	495310	57491
224	497606	55289
225	500408	53140
226	503170	50982
227	505230	48750
228	506785	46473
229	509565	44310
230	511928	42106
231	514150	39890
232	515472	37609
233	517372	35375
234	518687	33107
235	521117	30913
236	522416	28655
237	524710	26456
238	526031	24210
239	527272	21969
240	528629	19741
241	529867	17516
242	531102	15299
243	533323	13114
244	535524	10929
245	536784	8728
246	538203	6536
247	539425	4350
248	540666	2171
249	543248	0
